Rank,WCA ID,Name,Elo
149,2022STAN10,Nicolas Stan,1568
150,2023BASS10,Noah Bass,1568
151,2021RAMA02,Dev Ramani,1567
152,2022PHAM08,Alex Pham,1565
153,2022NIXL01,Luke Nix,1563
154,2018KHAN26,Hassan Khanani,1562
155,2018EVAR01,Jacob Evarts,1559
156,2015GOSK01,Max Goskie,1558
157,2014CHIC01,Christopher Chi,1558
158,2019CODR01,Briana Codrescu,1555
159,2023ZHAO11,Daniel Zhao,1555
160,2018SHUM02,Jacob Shum,1554
161,2022LENN02,Isaac Lennard,1551
162,2017BELJ01,Ian Beljour,1544
163,2017MEAD01,Alison Meador,1543
164,2019HENR03,Titus Henry,1538
165,2018MARA02,Bryce Maragni,1537
166,2023KELL06,Stratton Kellman,1536
167,2020BOYC01,Kepler Boyce,1536
168,2019SUNG03,Jongmyeong Sung,1536
169,2015WALL02,Travis Walls,1525
170,2023WHIT35,Billy White,1525
171,2018RUMM01,Ashtyn Rummel,1524
172,2019DUFF03,Matthew Duffin,1523
173,2022VACC03,Thaddeus Vacca,1521
174,2016HIGH01,Jacob Hightman,1520
175,2015GOVI03,Abhinav Govindaraju,1520
176,2023ZYTK01,Jakub Zytka,1519
177,2022FRYE01,Mayson Frye,1514
178,2023HELB01,Gavin Jax Helbley,1513
179,2022ROZE04,Joseph Rozelle,1510
180,2008REMO01,Jedrick Remonde,1509
181,2014KARN02,Daniel Karnaukh,1508
182,2022YOUN15,Maximus Young,1505
183,2016GOHN01,RJ Gohn,1505
184,2019JOHN20,Tyler Johnson,1505
185,2017STEE04,Logan Steele,1505
186,2019XUEL02,Elvin Xu,1503
187,2017MOOR03,Clay Moore,1502
188,2022KIMN01,NJ Kim,1501
189,2022TODD02,Weston Todd,1501
190,2024SLAT01,Elijah Slater,1500
191,2015WIDD01,Owen Widdis,1499
192,2023ANES01,Samuel Anes,1498
193,2016JERO01,Charles Jerome,1497
194,2023EASL01,Connor Easley,1493
195,2015WILL11,Maxwell Williamson,1492
196,2023MANG02,Declan Mangan-Lamb,1488
197,2023JIAN21,Shuxiu Jiang (蒋束修),1487
198,2023LAMB05,Noah Lambertt,1486
199,2018CATE03,Ethan Christopher Cates,1485
200,2019LIUV01,Victor Liu,1484
201,2022SHER07,Jacob Sherwood,1482
202,2023OVCH01,Luke Ovcharov,1480
203,2022DUNC05,Chase Duncan,1478
204,2014BROD03,Tyler Brodzinski,1478
205,2011GROG02,Shane Grogan,1477
206,2014WELL04,Dawson Wellman,1477
207,2018SCOT02,David Scott,1476
208,2023ABAB01,Roland Ababat,1475
209,2022SMIT20,Eddie Smith,1473
210,2020HEAD01,Ben Headley,1472
211,2017HANS09,Jake M. Hanson,1471
212,2022WRIG01,Henry A. Wright,1469
213,2021HAMB03,Canyon Hamby,1467
214,2022ZAND05,Davien Zan,1466
215,2018SUND13,Pranav Sundararajan,1464
216,2022HERN07,Daniel Estrada Hernandez,1464
217,2022BIGB01,Evan Bigby,1463
218,2023LEND01,Pratik Lende,1460
219,2022JENK02,Will Jenkins,1459
220,2015TRAC01,Catherine Trace,1457
221,2017ASHE01,Elliott Ashe,1457
222,2016YEAG01,Chris Yeager,1455
223,2016BAKE04,Ryan Baker,1455
224,2021PRIN02,Tyler Mason Printz,1450
225,2015MYER02,Isaac Myers,1450
226,2024BAND01,Subhan Bandaru,1447
227,2022GARC01,Luis Garcia,1447
228,2017FANI01,Jacob Fanikos,1447
229,2019SCHM12,Adam Schmucker,1446
230,2011GONZ04,Javier Gonzalez-Napoleoni,1443
231,2018DELI01,Kino Deligero,1443
232,2022MORS01,Kyle Morse,1442
233,2021MOSL01,Joseph Mosley,1441
234,2022PELS01,Jonathan Pelser,1440
235,2022UYAR01,Ali Aydin Uyar,1439
236,2023PIKE01,Jonathan Pike,1439
237,2011DWYE02,Nathan Dwyer,1439
238,2023SCHA16,Evan F. Scharnhorst,1433
239,2022LINA02,Andrew Lin,1432
240,2017WARR03,Oliver Warren,1431
241,2014WUGE01,George Wu (吴尚儒),1431
242,2017PLEI01,Coleton Pleiss,1431
243,2019SHER10,Ezra Shere,1430
244,2023SHAR40,Swaroop Sharma,1430
245,2018MOOR01,Jackson Moore,1427
246,2018DAKK01,Nandu Dakka,1426
247,2023LINB01,Beibei Lin,1426
248,2022KOLH01,Sharvil Kolhatkar,1425
249,2021ZHOU20,Brian Zhou,1422
250,2018FOWL03,Braxton Lee Fowler,1422
251,2021GASS01,Jeremy Gassman,1421
252,2022LUKA01,Matthew Lukaszewski,1421
253,2017PALA08,Harsha Paladugu,1415
254,2016GILS01,Ryan Gilson,1413
255,2022IKEK01,David Ikekhuah,1413
256,2022SACK01,Milo Sacks,1413
257,2015TEBO01,Dylan Teboe,1413
258,2022MOHY01,Sulaiman Mohyuddin,1412
259,2023WANG34,Andrew Patrick Wang,1409
260,2022AREL03,Pranav Arelli,1408
261,2013ORRE01,William Orrell,1406
262,2022ANDE13,Elijah Daniel Anderson,1405
263,2019VELL04,Callan Vellozzi,1402
264,2015DAVI09,Andrew Davis,1401
265,2022MUNO13,Samuel Alzate Muñoz,1400
266,2024DIAR01,Nyomi Diarra,1398
267,2014GRAV02,Nathan Graves,1398
268,2023LATI02,Shahir Latif,1394
269,2022MCPH01,Xavier Mcphee,1393
270,2010MCIL02,Ryan McIlhenny,1392
271,2016SMIT32,Kyler Smith,1391
272,2019COON04,Gage Coon,1391
273,2022GOOD11,Todd Goodwin,1391
274,2019SMIT28,Evan Smith,1390
275,2023QUIR06,William Quiroga,1389
